blue_win,game_duration,blue_kills,blue_deaths,blue_assists,blue_gold,blue_gold_15,blue_towers,blue_dragons,blue_barons,blue_vision_score,red_kills,red_deaths,red_assists,red_gold,red_gold_15,red_towers,red_dragons,red_barons,red_vision_score,kill_diff,gold_diff,gold_diff_15,tower_diff,dragon_diff,source
1,10,11,5,18,21340.0,27918.0,0,1,0,21,5,11,6,13156.0,23826.0,0,0,0,15,6,2728,4092.0,0,1,kaggle
0,10,3,9,1,11152.0,22066.5,0,1,0,28,9,3,7,21829.0,27405.0,0,0,0,45,-6,-3559,-5338.5,0,1,kaggle
1,10,6,4,7,17070.0,25329.0,0,1,0,38,4,6,5,16518.0,25053.0,0,0,0,20,2,184,276.0,0,1,kaggle
0,10,4,7,4,12940.0,22470.0,0,1,0,20,7,4,6,19060.0,25530.0,0,0,0,18,-3,-2040,-3060.0,0,1,kaggle
1,10,6,1,9,18695.0,24816.0,0,1,0,19,1,6,3,12242.0,21589.5,0,0,0,58,5,2151,3226.5,0,1,kaggle
0,10,10,12,9,13722.0,24261.0,0,0,0,34,12,10,8,21078.0,27939.0,0,0,0,14,-2,-2452,-3678.0,0,0,kaggle
1,10,7,4,7,21302.0,27070.5,0,1,0,45,4,7,3,11537.0,22188.0,0,0,0,23,3,3255,4882.5,0,1,kaggle
1,10,9,3,6,18612.0,26226.0,0,0,0,36,3,9,2,15228.0,24534.0,0,1,0,18,6,1128,1692.0,0,-1,kaggle
1,10,6,5,7,19735.0,26739.0,1,0,0,28,5,6,3,14008.0,23875.5,0,0,0,19,1,1909,2863.5,1,0,kaggle
1,10,10,6,9,22070.0,28009.5,0,0,0,20,6,10,8,11879.0,22914.0,0,0,0,17,4,3397,5095.5,0,0,kaggle
0,10,8,12,11,13977.0,26310.0,0,0,0,20,12,8,22,24666.0,31654.500000000004,0,1,0,17,-4,-3563,-5344.500000000004,0,-1,kaggle
0,10,7,9,4,16447.0,25212.0,0,1,0,19,9,7,13,17530.0,25753.5,0,0,0,20,-2,-361,-541.5,0,1,kaggle
1,10,4,3,3,14714.0,22840.5,0,0,0,20,3,4,4,16253.0,23610.0,0,0,0,41,1,-513,-769.5,0,0,kaggle
1,10,11,4,12,24264.0,29088.0,0,0,0,27,4,11,6,9648.0,21780.0,0,0,0,23,7,4872,7308.0,0,0,kaggle
0,10,6,7,5,18179.0,25791.0,0,0,0,36,7,6,7,15224.0,24313.5,0,0,0,17,-1,985,1477.5,0,0,kaggle
1,10,4,8,3,14073.0,23508.0,0,1,0,18,8,4,9,18870.0,25906.5,0,0,0,22,-4,-1599,-2398.5,0,1,kaggle
1,10,11,4,15,20284.0,27847.5,0,1,0,14,4,11,5,15127.0,25269.0,0,0,0,13,7,1719,2578.5,0,1,kaggle
0,10,1,6,0,11280.0,20881.5,0,0,0,18,6,1,5,19203.0,24843.0,0,0,0,19,-5,-2641,-3961.5,0,0,kaggle
0,10,3,9,2,11675.0,21781.5,0,0,0,18,9,3,11,20213.0,26050.5,0,1,0,18,-6,-2846,-4269.0,0,-1,kaggle
0,10,3,10,1,11158.0,22573.5,0,0,0,17,10,3,12,22831.0,28410.0,0,1,0,33,-7,-3891,-5836.5,0,-1,kaggle
1,10,13,4,11,26329.0,30190.5,0,1,0,19,4,13,5,7723.0,20887.5,0,0,0,17,9,6202,9303.0,0,1,kaggle
