match_id,blue_win,blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5
EUW1_7295533995,0,39,35,800,51,201,420,32,55,901,21
EUW1_7294388139,0,82,121,127,222,80,114,9,99,29,902
EUW1_7445410105,1,98,106,112,110,99,36,19,103,895,89
EUW1_7445374850,1,6,246,112,895,89,48,28,103,29,412
EUW1_7430387655,1,23,35,4,901,12,122,56,45,67,201
EUW1_7430281283,1,157,32,10,498,37,14,80,90,67,902
EUW1_7430211243,1,54,234,99,523,161,887,104,90,67,235
EUW1_7425966054,0,17,154,18,67,101,875,11,131,235,497
EUW1_7425939716,1,31,33,96,15,89,86,234,90,22,201
EUW1_7425895956,0,98,233,90,67,350,114,876,157,901,902
EUW1_7425362780,0,126,60,910,221,350,39,36,90,67,17
EUW1_7425306905,1,92,876,90,67,117,6,121,103,360,53
EUW1_7425216400,1,58,238,90,67,37,48,32,105,29,350
EUW1_7425182058,1,901,19,245,235,101,266,32,90,21,25
EUW1_7425110828,0,36,75,8,235,16,875,11,45,67,50
EUW1_7424353427,1,777,107,90,67,432,154,11,127,29,12
EUW1_7424315598,1,82,24,90,22,910,106,104,91,145,98
EUW1_7410792393,1,39,876,136,96,37,36,245,777,67,89
EUW1_7410760110,1,420,11,90,67,143,86,19,800,18,45
EUW1_7410724873,1,10,35,901,221,902,41,78,45,81,16
EUW1_7408782553,0,266,5,90,67,99,82,56,45,51,75
EUW1_7408736734,1,98,876,800,110,235,36,154,90,67,143
EUW1_7639478171,1,266,54,910,523,518,904,517,90,67,43
EUW1_7639469180,1,421,11,777,202,117,10,234,131,119,99
EUW1_7620725633,0,27,11,777,800,35,31,24,45,21,9
EUW1_7619716375,1,266,35,157,21,43,875,30,90,235,99
EUW1_7618605128,0,82,517,103,21,143,887,238,45,901,89
EUW1_7618509630,0,24,59,84,221,25,157,154,55,81,412
EUW1_7618390245,1,82,234,246,21,37,887,59,90,804,555
EUW1_7617612387,1,950,17,161,119,89,8,246,7,51,902
